A	Agilent Technologies, Inc.	Diagnostics & Research	34.31B
AA	Alcoa Corporation	Aluminum	16.36B
AACB	Artius II Acquisition Inc.	Shell Companies	286.99M
AACG	ATA Creativity Global	Education & Training Services	43.68M
AACI	Armada Acquisition Corp. III	Shell Companies	307.49M
AACO	Abony Acquisition Corp. I	Shell Companies	271.38M
AAL	American Airlines Group Inc.	Airlines	8.63B
AAME	Atlantic American Corporation	Insurance - Life	53.44M
AAMI	Acadian Asset Management Inc.	Asset Management	1.92B
AAOI	Applied Optoelectronics, Inc.	Communication Equipment	6.33B
AAON	AAON, Inc.	Building Products & Equipment	8.25B
AAP	Advance Auto Parts, Inc.	Auto Parts	3.20B
AAPG	Ascentage Pharma Group International	Biotechnology	2.21B
AAPL	Apple Inc.	Consumer Electronics	3.88T
AARD	Aardvark Therapeutics, Inc.	Biotechnology	271.95M
AAT	American Assets Trust, Inc.	REIT - Diversified	1.51B
AAUC	Allied Gold Corporation	Gold	3.96B
AB	AllianceBernstein Holding L.P.	Asset Management	3.62B
ABAT	American Battery Technology Company	Waste Management	486.01M
ABBV	AbbVie Inc.	Drug Manufacturers - General	410.36B
ABCB	Ameris Bancorp	Banks - Regional	5.26B
ABCL	AbCellera Biologics Inc.	Biotechnology	1.09B
ABEO	Abeona Therapeutics Inc.	Biotechnology	277.46M
ABEV	Ambev S.A.	Beverages - Brewers	49.52B
ABG	Asbury Automotive Group, Inc.	Auto & Truck Dealerships	4.12B
ABLV	Able View Global Inc.	Specialty Retail	36.05M
ABM	ABM Industries Incorporated	Specialty Business Services	2.61B
ABNB	Airbnb, Inc.	Travel Services	81.00B
ABOS	Acumen Pharmaceuticals, Inc.	Biotechnology	190.20M
ABR	Arbor Realty Trust, Inc.	REIT - Mortgage	1.68B
ABSI	Absci Corporation	Biotechnology	412.02M
ABT	Abbott Laboratories	Medical Devices	202.18B
ABTC	American Bitcoin Corp.	Capital Markets	946.16M
ABTS	Abits Group Inc.	Capital Markets	6.04M
ABUS	Arbutus Biopharma Corporation	Biotechnology	896.23M
ABVC	ABVC BioPharma, Inc.	Biotechnology	32.35M
ABVE	Above Food Ingredients Inc.	Packaged Foods	63.99M
ABVX	ABIVAX Société Anonyme	Biotechnology	9.44B
ABX	Abacus Global Management, Inc.	Insurance - Life	892.48M
ACA	Arcosa, Inc.	Engineering & Construction	5.27B
ACAA	Averin Capital Acquisition Corp.	Shell Companies	314.50M
ACAD	ACADIA Pharmaceuticals Inc.	Biotechnology	4.19B
ACB	Aurora Cannabis Inc.	Drug Manufacturers - Specialty & Generic	217.49M
ACCL	Acco Group Holdings Limited	Consulting Services	18.97M
ACCO	ACCO Brands Corporation	Business Equipment & Supplies	366.85M
ACCS	ACCESS Newswire Inc.	Advertising Agencies	27.70M
ACDC	ProFrac Holding Corp.	Oil & Gas Equipment & Services	895.31M
ACEL	Accel Entertainment, Inc.	Gambling	945.24M
ACET	Adicet Bio, Inc.	Biotechnology	73.27M
ACFN	Acorn Energy, Inc.	Scientific & Technical Instruments	52.77M
ACGL	Arch Capital Group Ltd.	Insurance - Diversified	35.49B
ACH	Accendra Health, Inc.	Medical Distribution	184.98M
ACHC	Acadia Healthcare Company, Inc.	Medical Care Facilities	2.16B
ACHR	Archer Aviation Inc.	Aerospace & Defense	5.22B
ACHV	Achieve Life Sciences, Inc.	Biotechnology	242.75M
ACI	Albertsons Companies, Inc.	Grocery Stores	9.20B
ACIC	American Coastal Insurance Corporation	Insurance - Property & Casualty	555.43M
ACIU	AC Immune SA	Biotechnology	289.90M
ACIW	ACI Worldwide, Inc.	Software - Infrastructure	4.04B
ACLS	Axcelis Technologies, Inc.	Semiconductor Equipment & Materials	2.54B
ACLX	Arcellx, Inc.	Biotechnology	6.65B
ACM	AECOM	Engineering & Construction	12.67B
ACMR	ACM Research, Inc.	Semiconductor Equipment & Materials	3.61B
ACN	Accenture plc	Information Technology Services	128.43B
ACNB	ACNB Corporation	Banks - Regional	522.76M
ACNT	Ascent Industries Co.	Chemicals	160.96M
ACOG	Alpha Cognition Inc.	Biotechnology	130.45M
ACON	Aclarion, Inc.	Health Information Services	2.31M
ACR	ACRES Commercial Realty Corp.	REIT - Mortgage	128.78M
ACRE	Ares Commercial Real Estate Corporation	REIT - Mortgage	277.57M
ACRS	Aclaris Therapeutics, Inc.	Biotechnology	310.95M
ACRV	Acrivon Therapeutics, Inc.	Biotechnology	47.96M
ACT	Enact Holdings, Inc.	Insurance - Specialty	6.04B
ACTG	Acacia Research Corporation	Business Equipment & Supplies	404.17M
ACTU	Actuate Therapeutics, Inc.	Biotechnology	86.93M
ACU	Acme United Corporation	Household & Personal Products	171.34M
ACVA	ACV Auctions Inc.	Auto & Truck Dealerships	845.99M
ACXP	Acurx Pharmaceuticals, Inc.	Biotechnology	3.82M
AD	Array Digital Infrastructure, Inc.	Telecom Services	4.21B
ADAC	American Drive Acquisition Company	Shell Companies	284.91M
ADAG	Adagene Inc.	Biotechnology	139.51M
ADAM	Adamas Trust, Inc.	REIT - Mortgage	745.51M
ADBE	Adobe Inc.	Software - Application	107.72B
ADC	Agree Realty Corporation	REIT - Retail	9.67B
ADCT	ADC Therapeutics SA	Biotechnology	507.90M
ADEA	Adeia Inc.	Software - Application	2.27B
ADGM	Adagio Medical Holdings, Inc.	Medical Devices	21.18M
ADI	Analog Devices, Inc.	Semiconductors	173.70B
ADIL	Adial Pharmaceuticals, Inc.	Biotechnology	2.81M
ADM	Archer-Daniels-Midland Company	Farm Products	33.22B
ADMA	ADMA Biologics, Inc.	Biotechnology	3.71B
ADNT	Adient plc	Auto Parts	1.91B
ADP	Automatic Data Processing, Inc.	Software - Application	86.31B
ADPT	Adaptive Biotechnologies Corporation	Biotechnology	2.47B
ADSE	ADS-TEC Energy PLC	Electrical Equipment & Parts	709.45M
ADSK	Autodesk, Inc.	Software - Application	52.02B
ADT	ADT Inc.	Security & Protection Services	6.52B
ADTN	ADTRAN Holdings, Inc.	Communication Equipment	822.73M
ADTX	Aditxt, Inc.	Biotechnology	812.00K
ADUR	Aduro Clean Technologies Inc.	Pollution & Treatment Controls	364.50M
ADUS	Addus HomeCare Corporation	Medical Care Facilities	1.88B
ADV	Advantage Solutions Inc.	Advertising Agencies	171.06M
ADVB	Advanced Biomed Inc.	Diagnostics & Research	5.54M
ADXN	Addex Therapeutics Ltd	Biotechnology	7.28M
AEAQ	Activate Energy Acquisition Corp.	Shell Companies	310.64M
AEBI	Aebi Schmidt Holding AG	Farm & Heavy Construction Machinery	1.12B
AEC	Anfield Energy Inc.	Uranium	122.47M
AEE	Ameren Corporation	Utilities - Regulated Electric	31.31B
AEG	Aegon Ltd.	Insurance - Diversified	11.45B
AEHL	Antelope Enterprise Holdings Limited	Building Products & Equipment	5.53M
AEHR	Aehr Test Systems, Inc.	Semiconductor Equipment & Materials	1.15B
AEI	Alset Inc.	Real Estate - Development	85.58M
AEIS	Advanced Energy Industries, Inc.	Electrical Equipment & Parts	12.67B
AEM	Agnico Eagle Mines Limited	Gold	125.88B
AEMD	Aethlon Medical, Inc.	Medical Devices	2.64M
AENT	Alliance Entertainment Holding Corporation	Entertainment	275.68M
AEO	American Eagle Outfitters, Inc.	Apparel Retail	4.16B
AEON	AEON Biopharma, Inc.	Biotechnology	28.34M
AEP	American Electric Power Company, Inc.	Utilities - Regulated Electric	72.38B
AER	AerCap Holdings N.V.	Rental & Leasing Services	24.32B
AERO	Grupo Aeroméxico, S.A.B. de C.V.	Airlines	2.76B
